"Published on","Unique ID","Target","Indicator","Indicator Type","Disaggregation","Year","Unit","Value","Footnote","Comments"
"28-Feb-2026 18:57","ORT-NR7ID-MN-288680-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems","headline","","2021","million USD","296.99","In analyzing private sector biodiversity-related expenditures, data collection focused on the Top 100 companies identified by the Mongolian National Chamber of Commerce and Industry, as well as major mining companies. The combined revenues of Mongolia’s Top 100 enterprises account for approximately 70 percent of national GDP, indicating a high level of representativeness relative to the population of approximately 87,000 active legal entities as of 2024. Data on biodiversity-related expenditures were collected through a review of corporate social responsibility and sustainability reports, as well as publicly available information disclosed through media sources. Where such information was not available, standardized questionnaires were distributed to enterprises to collect data on biodiversity- and environment-related expenditures.",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288680-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems","headline","","2023","million USD","782.01","In analyzing private sector biodiversity-related expenditures, data collection focused on the Top 100 companies identified by the Mongolian National Chamber of Commerce and Industry, as well as major mining companies. The combined revenues of Mongolia’s Top 100 enterprises account for approximately 70 percent of national GDP, indicating a high level of representativeness relative to the population of approximately 87,000 active legal entities as of 2024. Data on biodiversity-related expenditures were collected through a review of corporate social responsibility and sustainability reports, as well as publicly available information disclosed through media sources. Where such information was not available, standardized questionnaires were distributed to enterprises to collect data on biodiversity- and environment-related expenditures.",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288680-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems","headline","","2020","million USD","270.03","In analyzing private sector biodiversity-related expenditures, data collection focused on the Top 100 companies identified by the Mongolian National Chamber of Commerce and Industry, as well as major mining companies. The combined revenues of Mongolia’s Top 100 enterprises account for approximately 70 percent of national GDP, indicating a high level of representativeness relative to the population of approximately 87,000 active legal entities as of 2024. Data on biodiversity-related expenditures were collected through a review of corporate social responsibility and sustainability reports, as well as publicly available information disclosed through media sources. Where such information was not available, standardized questionnaires were distributed to enterprises to collect data on biodiversity- and environment-related expenditures.",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288680-1","NT12. By 2030,  Integrate biodiversity issues into the policies and planning of all sectors.","D.3 Private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems","headline","","2024","million USD","766.29","In analyzing private sector biodiversity-related expenditures, data collection focused on the Top 100 companies identified by the Mongolian National Chamber of Commerce and Industry, as well as major mining companies. The combined revenues of Mongolia’s Top 100 enterprises account for approximately 70 percent of national GDP, indicating a high level of representativeness relative to the population of approximately 87,000 active legal entities as of 2024. Data on biodiversity-related expenditures were collected through a review of corporate social responsibility and sustainability reports, as well as publicly available information disclosed through media sources. Where such information was not available, standardized questionnaires were distributed to enterprises to collect data on biodiversity- and environment-related expenditures.",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Other effective area-based conservation measures","2020","%","15.01","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Coverage of protected areas (terrestrial areas)","2024","%","20.77","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Coverage of protected areas (terrestrial areas)","2022","%","20.77","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Coverage of protected areas (terrestrial areas)","2025","%","20.77","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Coverage of protected areas (terrestrial areas)","2023","%","20.77","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Coverage of protected areas (terrestrial areas)","2021","%","20.77","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Coverage of protected areas (terrestrial areas)","2020","%","20.77","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Other effective area-based conservation measures","2021","%","16.94","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Other effective area-based conservation measures","2025","%","18.9","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Other effective area-based conservation measures","2022","%","17.55","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Other effective area-based conservation measures","2024","%","18.31","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288683-1","NT03. By 2030, 30% of the country's total area will be included in the special protected area network, representing major ecosystem types and strengthening ecological connectivity.","3.1 Coverage of protected areas and other effective area-based conservation measures","headline","Other effective area-based conservation measures","2023","%","18.03","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","T7 Intensive land-use biome","2022","ha","121943","",""
"28-Feb-2026 18:57","ORT-NR7ID-MN-288681-1","NT02. By 2030, restore at least 30 percent of degraded ecosystems and improve ecological integrity and connectivity.","2.1 Area under restoration","headline","F1 Rivers and streams biome","2024","ha","56517.78","",""
